Musteri_ID,Yas,Aylik_Harcama,Abonelik_Suresi_Ay,Destek_Talebi_Sayisi,Sehir,Uyelik_Tipi,Churn
1,49.0,594.38,12.0,0.0,Ankara,Standart,0
2,29.0,424.48,12.0,2.0,Bursa,Premium,1
3,35.0,557.04,58.0,2.0,,Temel,0
4,24.0,457.09,51.0,1.0,İstanbul,Temel,0
5,41.0,414.31,16.0,4.0,Bursa,Premium,1
6,29.0,908.67,1.0,2.0,Antalya,Premium,1
7,65.0,72.26,44.0,3.0,İstanbul,Premium,0
8,27.0,438.25,40.0,6.0,İzmir,Temel,0
9,31.0,743.4,600.0,3.0,Ankara,Temel,1
10,58.0,347.86,23.0,2.0,Adana,Standart,1
11,,243.48,48.0,1.0,Adana,Temel,0
12,58.0,402.6,1.0,4.0,Antalya,Standart,1
13,46.0,585.52,23.0,4.0,İzmir,Standart,0
14,18.0,533.08,55.0,3.0,Eskişehir,Temel,0
15,64.0,381.69,26.0,1.0,İstanbul,Temel,0
16,23.0,516.0,57.0,0.0,Ankara,Standart,0
17,30.0,629.22,4.0,2.0,İzmir,Premium,1
18,,661.36,51.0,2.0,İzmir,Temel,0
19,58.0,350.29,14.0,6.0,İzmir,Standart,1
20,67.0,579.13,35.0,3.0,İstanbul,Standart,0
21,37.0,471.77,36.0,3.0,İzmir,Standart,1
22,65.0,771.46,42.0,4.0,İstanbul,Temel,1
23,26.0,639.17,53.0,3.0,Eskişehir,Standart,0
24,69.0,544.39,54.0,2.0,İzmir,Temel,0
25,47.0,431.97,35.0,3.0,Eskişehir,Premium,0
26,0.0,441.32,33.0,3.0,İstanbul,Standart,0
27,52.0,551.0,-10.0,1.0,Antalya,Temel,0
28,62.0,331.28,54.0,1.0,Eskişehir,Standart,0
29,26.0,354.43,50.0,2.0,Antalya,Standart,0
30,37.0,,26.0,2.0,İstanbul,Temel,0
31,,527.71,4.0,3.0,İzmir,Standart,0
32,30.0,565.99,11.0,1.0,Bursa,Temel,0
33,49.0,296.33,18.0,4.0,Antalya,Temel,1
34,61.0,336.98,12.0,4.0,Ankara,Premium,1
35,41.0,442.9,38.0,2.0,Antalya,Standart,0
36,18.0,479.37,17.0,2.0,Eskişehir,Standart,0
37,59.0,557.06,40.0,1.0,Bursa,Temel,0
38,27.0,419.24,18.0,1.0,Eskişehir,Premium,1
39,65.0,723.65,45.0,,Antalya,Premium,1
40,26.0,389.77,43.0,3.0,Bursa,Temel,1
41,54.0,730.61,35.0,3.0,,Standart,0
42,37.0,442.08,40.0,3.0,Eskişehir,Premium,0
43,53.0,677.06,11.0,0.0,Antalya,Temel,1
44,46.0,593.97,59.0,0.0,,Temel,0
45,25.0,299.04,44.0,1.0,İzmir,Temel,0
46,28.0,593.91,33.0,2.0,Adana,,0
47,57.0,620.76,14.0,1.0,Ankara,Standart,0
48,56.0,750.83,42.0,2.0,Adana,,0
49,64.0,559.03,50.0,0.0,Bursa,Temel,1
50,27.0,511.21,40.0,2.0,İzmir,,0
51,36.0,226.48,2.0,2.0,Eskişehir,Premium,1
52,25.0,372.75,8.0,2.0,Eskişehir,Temel,0
53,57.0,431.38,23.0,1.0,Ankara,Temel,0
54,33.0,718.17,12.0,3.0,Bursa,Premium,0
55,62.0,653.28,34.0,3.0,Ankara,Temel,1
56,18.0,528.19,35.0,1.0,İzmir,Premium,0
57,60.0,644.42,41.0,3.0,Ankara,Standart,0
58,30.0,640.93,44.0,4.0,Bursa,Standart,0
59,35.0,580.76,9.0,1.0,Bursa,Temel,0
60,29.0,699.8,29.0,2.0,Antalya,Temel,1
61,69.0,313.75,11.0,0.0,Antalya,Temel,0
62,33.0,540.43,14.0,2.0,Ankara,Temel,1
63,51.0,318.53,2.0,0.0,Ankara,Temel,1
64,47.0,473.79,31.0,2.0,Eskişehir,Standart,1
65,42.0,354.51,3.0,2.0,İzmir,Temel,0
66,54.0,464.79,57.0,2.0,Bursa,Premium,0
67,,600.81,28.0,0.0,Bursa,Standart,0
68,68.0,270.38,29.0,3.0,,Temel,0
69,53.0,569.26,58.0,3.0,Antalya,Temel,1
70,48.0,638.69,10.0,1.0,Ankara,Temel,0
71,28.0,447.42,23.0,1.0,Eskişehir,Standart,1
72,69.0,315.55,2.0,2.0,Antalya,Temel,0
73,57.0,300.91,35.0,2.0,İzmir,Premium,1
74,38.0,,16.0,3.0,Adana,Standart,1
75,45.0,,27.0,2.0,İstanbul,Temel,0
76,,285.53,54.0,3.0,İstanbul,Temel,0
77,40.0,660.57,38.0,1.0,Antalya,Temel,0
78,44.0,-500.0,38.0,4.0,İstanbul,Premium,1
79,69.0,656.37,12.0,1.0,İstanbul,Temel,0
80,41.0,584.47,30.0,1.0,Adana,Standart,1
81,64.0,,12.0,0.0,Adana,Standart,0
82,65.0,,9.0,3.0,Ankara,Standart,0
83,55.0,480.32,45.0,1.0,Bursa,Premium,0
84,40.0,510.13,31.0,3.0,Antalya,Premium,1
85,27.0,478.58,15.0,99.0,Antalya,Standart,1
86,63.0,676.51,51.0,1.0,İzmir,Standart,1
87,20.0,517.24,14.0,2.0,İstanbul,Temel,0
88,36.0,430.37,11.0,2.0,Adana,Temel,1
89,65.0,431.28,46.0,3.0,Ankara,Standart,0
90,46.0,464.9,22.0,1.0,İzmir,Standart,1
91,29.0,,22.0,0.0,Ankara,Standart,1
92,28.0,627.67,17.0,3.0,Adana,Temel,1
93,67.0,379.01,20.0,2.0,Adana,Temel,1
94,48.0,553.68,2.0,3.0,Bursa,Standart,0
95,53.0,616.31,38.0,1.0,İstanbul,Temel,1
96,46.0,254.91,8.0,1.0,Bursa,Temel,0
97,21.0,636.08,20.0,1.0,İzmir,Premium,0
98,37.0,640.97,26.0,3.0,İstanbul,Temel,0
99,38.0,631.82,2.0,3.0,Adana,Temel,1
100,65.0,429.57,45.0,1.0,Antalya,Standart,0
101,32.0,689.62,19.0,2.0,Eskişehir,Temel,0
102,23.0,356.76,56.0,1.0,Adana,Temel,0
103,23.0,457.47,45.0,2.0,Antalya,Standart,0
104,,25000.0,15.0,6.0,Bursa,Premium,1
105,24.0,,27.0,0.0,Eskişehir,Standart,0
106,42.0,467.53,800.0,2.0,Ankara,,0
107,57.0,310.24,30.0,2.0,Antalya,Standart,0
108,55.0,294.13,18.0,1.0,Eskişehir,Standart,0
109,64.0,521.31,32.0,4.0,Antalya,Premium,0
110,25.0,781.88,45.0,3.0,Antalya,Premium,0
111,200.0,394.71,9.0,4.0,İstanbul,Standart,1
112,22.0,391.79,17.0,2.0,İstanbul,Standart,0
113,41.0,399.01,12.0,5.0,Ankara,Premium,1
114,53.0,310.02,40.0,1.0,İstanbul,Standart,0
115,,667.99,27.0,1.0,İstanbul,Standart,0
116,52.0,461.86,51.0,2.0,Antalya,Standart,0
117,21.0,516.34,38.0,0.0,Bursa,Temel,0
118,36.0,,29.0,2.0,İzmir,Premium,0
119,,,35.0,2.0,Adana,,0
120,64.0,,36.0,5.0,Ankara,Premium,0
121,21.0,498.89,13.0,3.0,Ankara,Temel,0
122,64.0,564.84,35.0,1.0,Eskişehir,Standart,0
123,55.0,,32.0,4.0,Ankara,Standart,1
124,47.0,578.91,13.0,2.0,Antalya,Premium,0
